form	lemma	POS	morph
		
༄༅། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
ཤེས་བྱ་	ཤེས་བྱ་	VERB
སྤྱི་	སྤྱི་	DET
དང་	དང་	NO_POS
བྱེ་	བྱེ་	NOUN
༼		PUNCT
མཱ་	མཱ་	NO_POS
		
བ་	པ་	PART
༽		PUNCT
བྲག་	བྲག་	NOUN
ཟབ་པ་	ཟབ་པ་	VERB
དང་	དང་	NO_POS
རྒྱ་ཆེ་བ་	རྒྱ་ཆེ་བ་	NO_POS
འི་	གི་	PART
གནས་	གནས་	NOUN
ཇི་ལྟ་		
ཐོས་པ་	ཐོས་པ་	VERB
དེ་དག་	དེ་དག་	OTHER
གི་	གི་	PART
དོན་	དོན་	NOUN
བསམ་པ་	བསམ་པ་	VERB
འི་	གི་	PART
རྟོག་དཔྱོད་	རྟོག་དཔྱོད་	NO_POS
ཀྱིས་	གིས་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
ངེས་པ་		
བྱ་	བྱ་	VERB
དགོས་པ་	དགོས་པ་	VERB
ས་	གིས་	PART
གནས་	གནས་	NOUN
བདུན་པ་	བདུན་པ་	NUM
བསམ་པ་	བསམ་པ་	VERB
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
ར་	ལ་	PART
ཕྱེ་བ་	ཕྱེ་བ་	VERB
ལ་	ལ་	PART
སྐབས་	སྐབས་	NOUN
བཞི་	བཞི་	NUM
།		PUNCT
འཇལ་བྱེད་	འཇལ་བྱེད་	NO_POS
ལྡེའུ་མིག་	ལྡེའུ་མིག་	OTHER
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
ངེས་པ་	ངེས་པ་	VERB
།		PUNCT
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
དྲང་	དྲང་	VERB
ངེས་	ངེས་	VERB
དང་	དང་	NO_POS
བདེན་	བདེན་	VERB
གཉིས་	གཉིས་	NUM
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
ངེས་པ་	ངེས་པ་	VERB
།		PUNCT
གཙོ་བོ་	གཙོ་བོ་	ADJ
ལྟ་བ་	ལྟ་བ་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
ངེས་པ་	ངེས་པ་	VERB
།		PUNCT
བློ་	བློ་	NOUN
ལྡོག་	ལྡོག་	VERB
རྣམ་	རྣམ་	NOUN
བཞི་	བཞི་	NUM
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
ངེས་པ་	ངེས་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
སྤྱི་		
བསམ་	བསམ་	NOUN
བྱུང་	བྱུང་	VERB
གི་	གི་	PART
ཤེས་རབ་	ཤེས་རབ་	NOUN
སྐྱེད་	སྐྱེད་	VERB
ཚུལ་	ཚུལ་	NOUN
།		PUNCT
བྱེ་བྲག་	བྱེ་བྲག་	NOUN
འཇལ་བྱེད་	འཇལ་བྱེད་	NO_POS
ཀྱི་	གི་	PART
ལྡེའུ་མིག་	ལྡེའུ་མིག་	OTHER
བཤད་པ་	བཤད་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
ཐོ་	ཐོ་	VERB
དོན་	དོན་	NOUN
བསམ་པ་	བསམ་པ་	VERB
ས་	གིས་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
ངེས་	ངེས་	VERB
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
། །		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
རྟོག་དཔྱོད་	རྟོག་དཔྱོད་	NO_POS
ཡིད་	ཡིད་	NOUN
ཀྱིས་	གིས་	PART
བརྗོད་པ་	བརྗོད་པ་	VERB
ས་	གིས་	PART
སོ་	གོ་	PART
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
